GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Parameters for Java,uk.co.spudsoft.params4j,SecretsSerializer,3,20,1,3,1,7,1,4,0,3
Parameters for Java,uk.co.spudsoft.params4j,ConfigurationProperty.Builder,0,46,0,0,0,13,0,7,0,7
Parameters for Java,uk.co.spudsoft.params4j,ConfigurationProperty,16,398,10,44,2,89,10,23,0,6
Parameters for Java,uk.co.spudsoft.params4j,FileType,0,69,0,0,0,10,0,4,0,4
Parameters for Java,uk.co.spudsoft.params4j,Params4J,0,4,0,0,0,1,0,1,0,1
Parameters for Java,uk.co.spudsoft.params4j,SecretsSerializer.DisablingSecretsSerializerAnnotationInspector,0,22,1,3,0,5,1,2,0,1
Parameters for Java,uk.co.spudsoft.params4j.impl,SystemPropertiesGatherer,5,40,0,2,2,11,1,3,1,2
Parameters for Java,uk.co.spudsoft.params4j.impl,CommandLineArgumentsGatherer,0,88,0,6,0,18,0,6,0,3
Parameters for Java,uk.co.spudsoft.params4j.impl,FileWatcher,7,129,3,11,4,34,3,9,0,5
Parameters for Java,uk.co.spudsoft.params4j.impl,SecretsWalker,34,200,2,14,5,44,3,12,1,6
Parameters for Java,uk.co.spudsoft.params4j.impl,ResourceGatherer,0,32,0,0,0,8,0,3,0,3
Parameters for Java,uk.co.spudsoft.params4j.impl,SecretsGatherer,6,69,0,2,2,18,0,5,0,4
Parameters for Java,uk.co.spudsoft.params4j.impl,MixIn,0,9,0,0,0,4,0,1,0,1
Parameters for Java,uk.co.spudsoft.params4j.impl,Params4JImpl,78,1045,28,96,16,212,28,69,1,34
Parameters for Java,uk.co.spudsoft.params4j.impl,EnvironmentVariablesGatherer,6,74,0,6,2,17,1,5,1,2
Parameters for Java,uk.co.spudsoft.params4j.impl,DefaultParametersErrorHandler,52,101,0,4,4,14,2,8,2,6
Parameters for Java,uk.co.spudsoft.params4j.impl,Params4JImpl.PropertyState,0,12,0,0,0,5,0,1,0,1
Parameters for Java,uk.co.spudsoft.params4j.impl,Params4JFactoryImpl,42,97,0,0,5,23,5,11,5,11
Parameters for Java,uk.co.spudsoft.params4j.impl,JavadocCapturer,13,332,9,55,4,71,9,31,0,8
Parameters for Java,uk.co.spudsoft.params4j.impl,DirGatherer,6,100,2,10,2,20,2,7,0,3
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocOptions,0,71,0,0,0,13,0,6,0,6
Parameters for Java,uk.co.spudsoft.params4j.doclet,TypeWriter.new SimpleTypeVisitor14() {...},0,16,0,0,0,4,0,4,0,4
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocLinkMaps,16,159,5,17,5,41,5,13,0,7
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocElementVisitor,89,504,6,36,18,106,12,25,6,10
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocDocTreeWalker,59,401,10,44,11,101,11,31,1,14
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocOptions.new AbstractAsciiDocOption() {...},0,19,0,0,0,3,0,2,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocOptions.new AbstractAsciiDocOption() {...},0,50,0,4,0,7,0,4,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocOptions.new AbstractAsciiDocOption() {...},0,48,0,4,0,7,0,4,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,TypeWriter,42,444,11,35,13,110,9,25,1,10
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocElementVisitor.new SimpleTypeVisitor14() {...},0,8,0,0,0,2,0,2,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocElementVisitor.new SimpleTypeVisitor14() {...},0,8,0,0,0,2,0,2,0,2
Parameters for Java,uk.co.spudsoft.params4j.doclet,AsciiDocDoclet,6,46,0,0,2,13,2,5,2,5
Parameters for Java,uk.co.spudsoft.params4j.doclet,AbstractAsciiDocOption,0,35,0,0,0,11,0,6,0,6
Parameters for Java,uk.co.spudsoft.params4j.doclet,HtmlEntities,0,74,0,0,0,16,0,3,0,3
